Designator,Footprint,Quantity,Value,LCSC Part #
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
C1,C_0603_1608Metric,1,10u,C19702
R4,R_0402_1005Metric,1,10K,C25744
C5,C_0402_1005Metric,1,100n,C307331
C3,C_0402_1005Metric,1,100n,C307331
LEDRX1,LED_0603_1608Metric,1,LED-0603_G,C72043
LEDPW1,LED_0603_1608Metric,1,LED-0603-B,C72041
RJ1,RJ45-TH_RC00134,1,RC00134,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
USB1,USB-AM-TH_AM90,1,AM90,
R2,R_0402_1005Metric,1,470,C25117
R6,R_0402_1005Metric,1,1K,C11702
R1,R_0402_1005Metric,1,470,C25117
R5,R_0402_1005Metric,1,1K,C11702
Q2,SOT-23,1,MMBT3904,
LEDTX1,LED_0603_1608Metric,1,LED-0603_G,C72043
C2,C_0603_1608Metric,1,10u,C19702
C4,C_0402_1005Metric,1,100n,C307331
R7,R_0402_1005Metric,1,1K,C11702
Q1,SOT-23,1,MMBT3904,
C6,C_0603_1608Metric,1,10u,C19702
R3,R_0402_1005Metric,1,10K,C25744
